nearest_latitude 
      Frequency   Percent Cum Percent
117           4 1.041e-03       99.95
118           5 1.301e-03       99.95
119           4 1.041e-03       99.96
120           6 1.561e-03       99.96
121           5 1.301e-03       99.96
122           2 5.204e-04       99.96
123           3 7.806e-04       99.96
124           4 1.041e-03       99.96
125           2 5.204e-04       99.96
126           2 5.204e-04       99.96
127           2 5.204e-04       99.96
128           3 7.806e-04       99.96
129           1 2.602e-04       99.96
130           4 1.041e-03       99.96
131           3 7.806e-04       99.97
133           1 2.602e-04       99.97
134           4 1.041e-03       99.97
135           1 2.602e-04       99.97
136           3 7.806e-04       99.97
137           3 7.806e-04       99.97
138           1 2.602e-04       99.97
139           1 2.602e-04       99.97
140           2 5.204e-04       99.97
141           2 5.204e-04       99.97
143           1 2.602e-04       99.97
144           3 7.806e-04       99.97
145           2 5.204e-04       99.97
146           2 5.204e-04       99.97
147           1 2.602e-04       99.97
148           2 5.204e-04       99.97
150           2 5.204e-04       99.97
152           5 1.301e-03       99.97
153           3 7.806e-04       99.98
154           1 2.602e-04       99.98
155           1 2.602e-04       99.98
156           1 2.602e-04       99.98
158           3 7.806e-04       99.98
159           2 5.204e-04       99.98
161           1 2.602e-04       99.98
164           2 5.204e-04       99.98
165           2 5.204e-04       99.98
166           1 2.602e-04       99.98
167           3 7.806e-04       99.98
168           1 2.602e-04       99.98
171           2 5.204e-04       99.98
173           1 2.602e-04       99.98
174           2 5.204e-04       99.98
175           1 2.602e-04       99.98
176           2 5.204e-04       99.98
178           1 2.602e-04       99.98
179           2 5.204e-04       99.98
181           1 2.602e-04       99.98
182           1 2.602e-04       99.98
185           2 5.204e-04       99.98
189           2 5.204e-04       99.98
194           1 2.602e-04       99.98
195           2 5.204e-04       99.99
196           1 2.602e-04       99.99
197           1 2.602e-04       99.99
198           3 7.806e-04       99.99
199           2 5.204e-04       99.99
201           2 5.204e-04       99.99
202           1 2.602e-04       99.99
203           1 2.602e-04       99.99
209           1 2.602e-04       99.99
211           1 2.602e-04       99.99
215           1 2.602e-04       99.99
216           1 2.602e-04       99.99
218           1 2.602e-04       99.99
220           1 2.602e-04       99.99
222           2 5.204e-04       99.99
223           1 2.602e-04       99.99
228           1 2.602e-04       99.99
236           1 2.602e-04       99.99
250           1 2.602e-04       99.99
256           2 5.204e-04       99.99
260           1 2.602e-04       99.99
261           1 2.602e-04       99.99
263           1 2.602e-04       99.99
275           1 2.602e-04       99.99
276           1 2.602e-04       99.99
279           1 2.602e-04       99.99
284           1 2.602e-04       99.99
285           1 2.602e-04       99.99
291           1 2.602e-04       99.99
297           1 2.602e-04       99.99
300           1 2.602e-04       99.99
301           2 5.204e-04      100.00
311           1 2.602e-04      100.00
312           1 2.602e-04      100.00
325           1 2.602e-04      100.00
326           1 2.602e-04      100.00
340           1 2.602e-04      100.00
341           1 2.602e-04      100.00
343           1 2.602e-04      100.00
358           1 2.602e-04      100.00
376           1 2.602e-04      100.00
400           1 2.602e-04      100.00
408           1 2.602e-04      100.00
427           1 2.602e-04      100.00
445           1 2.602e-04      100.00
467           1 2.602e-04      100.00
512           1 2.602e-04      100.00
624           1 2.602e-04      100.00
1096          1 2.602e-04      100.00
1164          1 2.602e-04      100.00
Total    384343 1.000e+02



depth_meters       Frequency   Percent Cum Percent
-420          1 2.602e-04   2.602e-04
-30           2 5.204e-04   7.806e-04
-20           4 1.041e-03   1.821e-03
-10           3 7.806e-04   2.602e-03
0        307529 8.001e+01   8.002e+01
10          404 1.051e-01   8.012e+01
20          862 2.243e-01   8.035e+01
30         1301 3.385e-01   8.068e+01
40         1644 4.277e-01   8.111e+01
50         1743 4.535e-01   8.157e+01
60         1895 4.930e-01   8.206e+01
70         2059 5.357e-01   8.259e+01
80         2047 5.326e-01   8.313e+01
90         2008 5.224e-01   8.365e+01
100        1999 5.201e-01   8.417e+01
110        1953 5.081e-01   8.468e+01
120        1853 4.821e-01   8.516e+01
130        1763 4.587e-01   8.562e+01
140        1632 4.246e-01   8.604e+01
150        1627 4.233e-01   8.647e+01
160        1541 4.009e-01   8.687e+01
170        1435 3.734e-01   8.724e+01
180        1365 3.552e-01   8.760e+01
190        1363 3.546e-01   8.795e+01
200        1201 3.125e-01   8.826e+01
210        1247 3.244e-01   8.859e+01
220        1189 3.094e-01   8.890e+01
230        1110 2.888e-01   8.919e+01
240        1040 2.706e-01   8.946e+01
250        1091 2.839e-01   8.974e+01
260        1021 2.656e-01   9.001e+01
270        1004 2.612e-01   9.027e+01
280         934 2.430e-01   9.051e+01
290         930 2.420e-01   9.075e+01
300         915 2.381e-01   9.099e+01
310         827 2.152e-01   9.121e+01
320         846 2.201e-01   9.143e+01
330         833 2.167e-01   9.164e+01
340         816 2.123e-01   9.185e+01
350         798 2.076e-01   9.206e+01
360         789 2.053e-01   9.227e+01
370         761 1.980e-01   9.247e+01
380         799 2.079e-01   9.267e+01
390         731 1.902e-01   9.286e+01
400         717 1.866e-01   9.305e+01
410         730 1.899e-01   9.324e+01
420         687 1.787e-01   9.342e+01
430         684 1.780e-01   9.360e+01
440         698 1.816e-01   9.378e+01
450         681 1.772e-01   9.396e+01
460         631 1.642e-01   9.412e+01
470         657 1.709e-01   9.429e+01
480         581 1.512e-01   9.444e+01
490         621 1.616e-01   9.460e+01
500         590 1.535e-01   9.476e+01
510         562 1.462e-01   9.490e+01
520         570 1.483e-01   9.505e+01
530         559 1.454e-01   9.520e+01
540         526 1.369e-01   9.533e+01
550         489 1.272e-01   9.546e+01
560         499 1.298e-01   9.559e+01
570         459 1.194e-01   9.571e+01
580         467 1.215e-01   9.583e+01
590         425 1.106e-01   9.594e+01
600         406 1.056e-01   9.605e+01
610         419 1.090e-01   9.616e+01
620         446 1.160e-01   9.627e+01
630         405 1.054e-01   9.638e+01
640         420 1.093e-01   9.649e+01
650         379 9.861e-02   9.659e+01
660         390 1.015e-01   9.669e+01
670         337 8.768e-02   9.678e+01
680         353 9.185e-02   9.687e+01
690         333 8.664e-02   9.695e+01
700         347 9.028e-02   9.704e+01
710         328 8.534e-02   9.713e+01
720         293 7.623e-02   9.721e+01
730         310 8.066e-02   9.729e+01
740         297 7.727e-02   9.736e+01
750         316 8.222e-02   9.745e+01
760         311 8.092e-02   9.753e+01
770         262 6.817e-02   9.760e+01
780         302 7.858e-02   9.767e+01
790         271 7.051e-02   9.774e+01
800         254 6.609e-02   9.781e+01
810         271 7.051e-02   9.788e+01
820         233 6.062e-02   9.794e+01
830         206 5.360e-02   9.800e+01
840         212 5.516e-02   9.805e+01
850         233 6.062e-02   9.811e+01
860         188 4.891e-02   9.816e+01
870         212 5.516e-02   9.821e+01
880         171 4.449e-02   9.826e+01
890         200 5.204e-02   9.831e+01
900         188 4.891e-02   9.836e+01
910         165 4.293e-02   9.840e+01
920         169 4.397e-02   9.845e+01
930         148 3.851e-02   9.849e+01
940         154 4.007e-02   9.853e+01
950         150 3.903e-02   9.856e+01
960         144 3.747e-02   9.860e+01
970         143 3.721e-02   9.864e+01
980         137 3.565e-02   9.868e+01
990         154 4.007e-02   9.872e+01
1000        130 3.382e-02   9.875e+01
1010        122 3.174e-02   9.878e+01
1020        130 3.382e-02   9.881e+01
1030        113 2.940e-02   9.884e+01
1040        132 3.434e-02   9.888e+01
1050        111 2.888e-02   9.891e+01
1060         99 2.576e-02   9.893e+01
1070        101 2.628e-02   9.896e+01
1080         94 2.446e-02   9.898e+01
1090         88 2.290e-02   9.901e+01
1100         88 2.290e-02   9.903e+01
1110        107 2.784e-02   9.906e+01
1120         87 2.264e-02   9.908e+01
1130         92 2.394e-02   9.910e+01
1140         99 2.576e-02   9.913e+01
1150         82 2.134e-02   9.915e+01
1160         92 2.394e-02   9.917e+01
1170         88 2.290e-02   9.920e+01
1180         87 2.264e-02   9.922e+01
1190         70 1.821e-02   9.924e+01
1200         68 1.769e-02   9.926e+01
1210         65 1.691e-02   9.927e+01
1220         67 1.743e-02   9.929e+01
1230         64 1.665e-02   9.931e+01
1240         58 1.509e-02   9.932e+01
1250         68 1.769e-02   9.934e+01
1260         66 1.717e-02   9.936e+01
1270         58 1.509e-02   9.937e+01
1280         47 1.223e-02   9.938e+01
1290         49 1.275e-02   9.940e+01
1300         52 1.353e-02   9.941e+01
1310         52 1.353e-02   9.942e+01
1320         64 1.665e-02   9.944e+01
1330         53 1.379e-02   9.945e+01
1340         46 1.197e-02   9.947e+01
1350         51 1.327e-02   9.948e+01
1360         58 1.509e-02   9.950e+01
1370         46 1.197e-02   9.951e+01
1380         58 1.509e-02   9.952e+01
1390         52 1.353e-02   9.954e+01
1400         43 1.119e-02   9.955e+01
1410         48 1.249e-02   9.956e+01
1420         45 1.171e-02   9.957e+01
1430         38 9.887e-03   9.958e+01
1440         41 1.067e-02   9.959e+01
1450         47 1.223e-02   9.960e+01
1460         43 1.119e-02   9.962e+01
1470         36 9.367e-03   9.962e+01
1480         41 1.067e-02   9.964e+01
1490         31 8.066e-03   9.964e+01
1500         42 1.093e-02   9.965e+01
1510         37 9.627e-03   9.966e+01
1520         40 1.041e-02   9.967e+01
1530         23 5.984e-03   9.968e+01
1540         26 6.765e-03   9.969e+01
1550         33 8.586e-03   9.970e+01
1560         23 5.984e-03   9.970e+01
1570         44 1.145e-02   9.971e+01
1580         30 7.806e-03   9.972e+01
1590         28 7.285e-03   9.973e+01
1600         32 8.326e-03   9.974e+01
1610         28 7.285e-03   9.974e+01
1620         19 4.944e-03   9.975e+01
1630         30 7.806e-03   9.976e+01
1640         21 5.464e-03   9.976e+01
1650         31 8.066e-03   9.977e+01
1660         16 4.163e-03   9.977e+01
1670         18 4.683e-03   9.978e+01
1680         18 4.683e-03   9.978e+01
1690         30 7.806e-03   9.979e+01
1700         19 4.944e-03   9.980e+01
1710         25 6.505e-03   9.980e+01
1720         23 5.984e-03   9.981e+01
1730         14 3.643e-03   9.981e+01
1740         24 6.244e-03   9.982e+01
1750         15 3.903e-03   9.982e+01
1760         16 4.163e-03   9.983e+01
1770         17 4.423e-03   9.983e+01
1780         15 3.903e-03   9.984e+01
1790         15 3.903e-03   9.984e+01
1800          9 2.342e-03   9.984e+01
1810         10 2.602e-03   9.984e+01
1820         14 3.643e-03   9.985e+01
1830         17 4.423e-03   9.985e+01
1840         17 4.423e-03   9.986e+01
1850         16 4.163e-03   9.986e+01
1860         16 4.163e-03   9.986e+01
1870         17 4.423e-03   9.987e+01
1880         16 4.163e-03   9.987e+01
1890         13 3.382e-03   9.988e+01
1900         12 3.122e-03   9.988e+01
1910         13 3.382e-03   9.988e+01
1920         10 2.602e-03   9.989e+01
1930         16 4.163e-03   9.989e+01
1940         15 3.903e-03   9.989e+01
1950         15 3.903e-03   9.990e+01
1960         13 3.382e-03   9.990e+01
1970         20 5.204e-03   9.991e+01
1980         13 3.382e-03   9.991e+01
1990         15 3.903e-03   9.991e+01
2000         14 3.643e-03   9.992e+01
2010          8 2.081e-03   9.992e+01
2020          7 1.821e-03   9.992e+01
2030          8 2.081e-03   9.992e+01
2040          8 2.081e-03   9.993e+01
2050          5 1.301e-03   9.993e+01
2060         11 2.862e-03   9.993e+01
2070         11 2.862e-03   9.993e+01
2080          9 2.342e-03   9.993e+01
2090          7 1.821e-03   9.994e+01
2100          6 1.561e-03   9.994e+01
2110          9 2.342e-03   9.994e+01
2120          5 1.301e-03   9.994e+01
2130          8 2.081e-03   9.994e+01
2140          9 2.342e-03   9.995e+01
2150         11 2.862e-03   9.995e+01
2160         11 2.862e-03   9.995e+01
2170          5 1.301e-03   9.995e+01
2190          6 1.561e-03   9.995e+01
2200          5 1.301e-03   9.996e+01
2210          5 1.301e-03   9.996e+01
2220          5 1.301e-03   9.996e+01
2230          5 1.301e-03   9.996e+01
2240          4 1.041e-03   9.996e+01
2250          7 1.821e-03   9.996e+01
2260          7 1.821e-03   9.996e+01
2270          7 1.821e-03   9.997e+01
2280          6 1.561e-03   9.997e+01
2290          4 1.041e-03   9.997e+01
2300          4 1.041e-03   9.997e+01
2310          3 7.806e-04   9.997e+01
2320          5 1.301e-03   9.997e+01
2330          2 5.204e-04   9.997e+01
2350          2 5.204e-04   9.997e+01
2360          4 1.041e-03   9.997e+01
2370          3 7.806e-04   9.998e+01
2380          2 5.204e-04   9.998e+01
2390          3 7.806e-04   9.998e+01
2400          5 1.301e-03   9.998e+01
2410          3 7.806e-04   9.998e+01
2420          4 1.041e-03   9.998e+01
2440          6 1.561e-03   9.998e+01
2450          3 7.806e-04   9.998e+01
2480          1 2.602e-04   9.998e+01
2490          2 5.204e-04   9.998e+01
2500          2 5.204e-04   9.998e+01
2510          2 5.204e-04   9.998e+01
2520          2 5.204e-04   9.998e+01
2530          3 7.806e-04   9.998e+01
2540          2 5.204e-04   9.999e+01
2550          4 1.041e-03   9.999e+01
2560          4 1.041e-03   9.999e+01
2570          1 2.602e-04   9.999e+01
2580          1 2.602e-04   9.999e+01
2590          3 7.806e-04   9.999e+01
2620          2 5.204e-04   9.999e+01
2630          1 2.602e-04   9.999e+01
2650          2 5.204e-04   9.999e+01
2670          2 5.204e-04   9.999e+01
2690          1 2.602e-04   9.999e+01
2720          1 2.602e-04   9.999e+01
2730          1 2.602e-04   9.999e+01
2760          1 2.602e-04   9.999e+01
2770          2 5.204e-04   9.999e+01
2780          1 2.602e-04   9.999e+01
2790          1 2.602e-04   9.999e+01
2820          1 2.602e-04   9.999e+01
2830          1 2.602e-04   9.999e+01
2840          1 2.602e-04   9.999e+01
2870          1 2.602e-04   9.999e+01
2890          1 2.602e-04   9.999e+01
2900          1 2.602e-04   9.999e+01
2910          2 5.204e-04   9.999e+01
2940          1 2.602e-04   1.000e+02
2950          1 2.602e-04   1.000e+02
2970          1 2.602e-04   1.000e+02
2980          1 2.602e-04   1.000e+02
3030          1 2.602e-04   1.000e+02
3080          1 2.602e-04   1.000e+02
3100          1 2.602e-04   1.000e+02
3110          1 2.602e-04   1.000e+02
3130          1 2.602e-04   1.000e+02
